Name,Hash,Id,Tag,Tier,Type,Source,Category,Element,Power,Power Limit,Masterwork Type,Masterwork Tier,Owner,Locked,Equipped,Year,Season,Event,Recoil,AA,Impact,Range,Zoom,Blast Radius,Velocity,Stability,ROF,Reload,Mag,Handling,Charge Time,Draw Time,Accuracy,Charge Rate,Guard Resistance,Guard Efficiency,Guard Endurance,Swing Speed,Shield Duration,Airborne Effectiveness,Crafted,Crafted Level,Kill Tracker,Foundry,Loadouts,Notes,Perks 0,Perks 1,Perks 2,Perks 3,Perks 4,Perks 5,Perks 6,Perks 7,Perks 8,Perks 9,Perks 10,Perks 11,Perks 12,Perks 13,Perks 14
Vestian Dynasty,3334276332,"""6917529066600564328""",,Legendary,Sidearm,campaign,Energy,Arc,1600,1060,Stability,10,Vault,true,false,2,4,,100,90,51,55,12,0,0,56,260,21,12,33,0,0,0,0,0,0,0,0,0,12,false,0,261,,,,Precision Frame*,Extended Barrel,Chambered Compensator*,Alloy Magazine,Armor-Piercing Rounds*,Kill Clip*,Dragonfly*,Kill Tracker,Masterworked: Stability*,Vanguard Angelos*,"Yes, Queen*",,,,
Retold Tale,346136302,"""6917529067526263569""",,Legendary,Shotgun,dreaming,Energy,Void,1600,1060,Range,10,Vault,true,false,2,4,,64,75,70,95,12,0,0,45,65,41,6,19,0,0,0,0,0,0,0,0,0,2,false,0,1084,,,,Precision Frame*,Rifled Barrel*,Full Choke,Extended Mag,Accurized Rounds*,Quickdraw*,Rampage*,Crucible Tracker,Sprint Grip*,Masterworked: Range*,Calus's Selected*,,,,
Coldheart,1345867571,"""6917529067682824418""",,Exotic,Trace Rifle,,Energy,Arc,1600,,"Stability, Reload Speed",10,Hunter(1772),true,false,1,1,,100,100,6,70,16,0,0,90,1000,50,101,25,0,0,0,0,0,0,0,0,0,14,false,0,508,omolon,,,Cold Fusion*,Extended Barrel*,Enhanced Battery*,Longest Winter*,Hand-Laid Stock*,Kill Tracker,Coldheart Catalyst*,Pride of Omolon*,,,,,,,
The Huckleberry,2286143274,"""6917529075085120639""",,Exotic,Submachine Gun,,KineticSlot,Kinetic,1800,,,10,Vault,true,false,1,3,,100,49,22,53,15,0,0,51,750,0,37,86,0,0,0,0,0,0,0,0,0,33,false,0,4472,tex-mechanica,,,Ride the Bull*,Fluted Barrel*,Ricochet Rounds*,Rampage*,Short-Action Stock*,Kill Tracker,Huckleberry Catalyst*,The Devil's Work*,,,,,,,
Fighting Lion,3549153978,"""6917529079091660114""",,Exotic,Grenade Launcher,,Energy,Void,1600,,Reload Speed,10,Vault,true,false,1,1,,90,80,0,0,13,90,50,75,90,30,1,100,0,0,0,0,0,0,0,0,0,12,false,0,3,,,,Delayed Gratification*,Countermass*,Implosion Rounds*,Thin the Herd*,Short-Action Stock*,Crucible Tracker,Fighting Lion Catalyst*,Prideglass*,,,,,,,
Dust Rock Blues,636912560,"""6917529081842051154""",,Legendary,Shotgun,tangled,KineticSlot,Kinetic,1600,1060,Range,10,Vault,true,false,2,4,,64,75,70,90,12,0,0,45,65,51,5,19,0,0,0,0,0,0,0,0,0,2,false,0,286,,,,Precision Frame*,Rifled Barrel*,Full Choke,Tactical Mag,Light Mag*,Moving Target*,Full Auto Trigger System*,Crucible Tracker,Masterworked: Range*,Dark Fluorescence*,,,,,
Wavesplitter,1852863732,"""6917529083868641461""",,Exotic,Trace Rifle,,Energy,Void,1600,,,,Vault,false,false,2,4,,100,100,6,67,16,0,0,96,1000,45,100,46,0,0,0,0,0,0,0,0,0,14,false,0,0,omolon,,,Harmonic Laser*,Polygonal Rifling*,Enhanced Battery*,Supercharged Battery*,Fitted Stock*,Kill Tracker,,,,,,,,,
The Jade Rabbit,3844694310,"""6917529083899930773""",,Exotic,Scout Rifle,,KineticSlot,Kinetic,1600,,Stability,10,Titan(1821),false,false,1,2,,100,60,67,85,20,0,0,80,150,54,10,21,0,0,0,0,0,0,0,0,0,29,false,0,786,daito,,,The Fate of All Fools*,Polygonal Rifling*,High-Caliber Rounds*,Zen Moment*,Kill Tracker,Jade Rabbit Catalyst*,Jade Jester*,,,,,,,,
The Colony,3899270607,"""6917529083903091581""",,Exotic,Grenade Launcher,,Power,Void,1600,,"Magazine, Inventory Size",10,Hunter(1772),false,false,1,2,,80,60,0,0,13,35,35,90,140,70,8,85,0,0,0,0,0,0,0,0,0,24,false,0,491,veist,,,Insectoid Robot Grenades*,Linear Compensator*,High-Velocity Rounds*,Serve the Colony*,Composite Stock*,Kill Tracker,Colony Catalyst*,The Colony XZ812*,,,,,,,
Worldline Zero,1864563948,"""6917529084518851249""",,Exotic,Sword,,Power,Arc,1600,,,10,Hunter(1772),false,false,1,3,,0,0,61,0,0,0,0,0,0,0,62,0,0,0,0,20,40,0,100,40,0,0,false,0,641,,,,Tesseract*,Tempered Edge*,Infinite Guard*,Assassin's Blade*,Tireless Blade*,Kill Tracker,Worldline Catalyst*,Positive Infinity*,,,,,,,
The Queenbreaker,2044500762,"""6917529086178141396""",,Exotic,Linear Fusion Rifle,,Power,Arc,1600,,,,Vault,false,false,2,4,,80,60,41,65,35,0,0,90,0,60,6,35,633,0,0,0,0,0,0,0,0,18,false,0,43,,,,Wire Rifle*,Marksman Sights*,Combat Sights,Enhanced Battery*,Hip-Fire Grip,Quickdraw*,Fitted Stock*,Kill Tracker,Polemology*,,,,,,
The Vow,2009106091,"""6917529089462662901""",,Legendary,Combat Bow,events,Energy,Solar,1600,1060,"Draw Time, Charge Time",10,Vault,false,false,2,5,Crimson Days,51,89,68,0,18,0,0,70,0,60,0,60,0,500,34,0,0,0,0,0,0,10,false,0,215,veist,,,Lightweight Frame*,Polymer String*,Natural Fletching*,Rapid Hit*,Archer's Tempo*,Kill Tracker,Targeting Adjuster*,Masterworked: Draw Time*,,,,,,,
Loaded Question,580961571,"""6917529090132057617""",,Legendary,Fusion Rifle,pinnacle-weapon,Energy,Arc,1600,1060,Stability,10,Vault,false,false,2,5,,77,66,95,58,17,0,0,35,0,0,8,35,960,0,0,0,0,0,0,0,0,4,false,0,186,fotc,,,High-Impact Frame*,Red Dot 2 MOA*,Ionized Battery*,Auto-Loading Holster*,Reservoir Burst*,Kill Tracker,Masterworked: Stability*,Powerful Statement*,,,,,,,
BrayTech RWP Mk. II,717150101,"""6917529090158665171""",,Legendary,Scout Rifle,dcv,Energy,Solar,1600,1060,"Magazine, Ammo Capacity, Inventory Size",10,Vault,false,false,1,3,,77,39,67,77,21,0,0,41,150,43,16,29,0,0,0,0,0,0,0,0,0,0,false,0,0,,,,High-Impact Frame*,Smallbore*,Tactical Mag*,Zen Moment*,Triple Tap*,Masterwork Weapon*,,,,,,,,,
Polaris Lance,3413074534,"""6917529090158665948""",,Exotic,Scout Rifle,,Energy,Solar,1782,,,10,Vault,false,false,1,3,,97,39,67,77,21,0,0,72,150,43,15,24,0,0,0,0,0,0,0,0,0,27,false,0,852,,,,The Perfect Fifth*,Smallbore*,Tactical Mag*,Zen Moment*,Fitted Stock*,Kill Tracker,Polaris Lance Catalyst*,IKELOS Field Tuning*,,,,,,,
Borealis,3141979347,"""6917529090422860219""",,Exotic,Sniper Rifle,,Energy,Void,1600,,Reload Speed,10,Vault,false,false,1,1,,55,65,90,54,45,0,0,62,72,65,5,75,0,0,0,0,0,0,0,0,0,22,false,0,472,,,,The Fundamentals*,Corkscrew Rifling*,Extended Mag*,Ionic Return*,Hand-Laid Stock*,Kill Tracker,Borealis Catalyst*,,,,,,,,
Ace of Spades,347366834,"""6917529090500928083""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1810,,,10,Warlock(1823),false,false,2,4,,100,70,84,85,14,0,0,50,140,42,13,50,0,0,0,0,0,0,0,0,0,14,false,0,132,,PvP,,Memento Mori*,Corkscrew Rifling*,High-Caliber Rounds*,Firefly*,Smooth Grip*,Crucible Tracker,Ace of Spades Catalyst*,Last Hand*,,,,,,,
No Turning Back,720351794,"""6917529091687135987""",,Legendary,Combat Bow,tangled,KineticSlot,Kinetic,1600,1060,Accuracy,3,Vault,true,false,2,4,,72,66,76,0,18,0,0,38,0,40,0,54,0,720,100,0,0,0,0,0,0,10,false,0,0,,,,Precision Frame*,High Tension String*,Fiberglass Arrow Shaft*,Explosive Head*,Snapshot Sights,Hip-Fire Grip*,Kill Tracker,Tier 3: Target Acquisition*,Glacial Whisper*,,,,,,
Malfeasance,204878059,"""6917529091890788439""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1800,,Range,10,Vault,false,false,2,4,,98,50,78,65,14,0,0,95,180,60,14,24,0,0,0,0,0,0,0,0,0,63,false,0,700,,,,Explosive Shadow*,Corkscrew Rifling*,Extended Mag*,Taken Predator*,Heavy Grip*,Kill Tracker,Malfeasance Catalyst*,The Pink Mist*,,,,,,,
Le Monarque,3588934839,"""6917529092019730899""",,Exotic,Combat Bow,blackarmory,Energy,Void,1600,,"Reload Speed, Stability",10,Vault,false,false,2,5,,78,70,68,0,18,0,0,81,0,70,0,69,0,612,78,0,0,0,0,0,0,18,false,0,793,,,,Poison Arrows*,Natural String*,Compact Arrow Shaft*,Snapshot Sights*,Kill Tracker,Le Monarque Catalyst*,,,,,,,,,
Thorn,3973202132,"""6917529092562476715""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,,,Vault,true,false,2,6,,100,85,84,49,14,0,0,55,140,40,9,85,0,0,0,0,0,0,0,0,0,21,false,0,0,,,,Mark of the Devourer*,Corkscrew Rifling*,Accurized Rounds*,Soul Devourer*,Textured Grip*,Kill Tracker,Empty Catalyst Socket*,,,,,,,,
Breakneck,324382200,"""6917529092757212220""",,Legendary,Auto Rifle,gambit,KineticSlot,Kinetic,1600,1060,Range,10,Vault,true,false,2,5,,80,44,29,74,16,0,0,55,450,26,40,37,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,Precision Frame*,Polygonal Rifling*,Extended Mag*,Subsistence*,Onslaught*,Kill Tracker,Masterworked: Range*,,,,,,,,
Oxygen SR3,3907337522,"""6917529092814298259""",,Legendary,Scout Rifle,pinnacle-weapon,Energy,Solar,1600,1060,Range,10,Vault,false,false,2,6,,60,67,62,64,20,0,0,55,180,44,16,41,0,0,0,0,0,0,0,0,0,10,false,0,0,omolon,,,Precision Frame*,Polygonal Rifling*,Accurized Rounds*,Dragonfly*,Meganeura*,Kill Tracker,Masterworked: Range*,,,,,,,,
Lord of Wolves,3413860063,"""6917529092905939753""",,Exotic,Shotgun,,Energy,Solar,1600,,,10,Vault,false,false,2,4,,90,80,68,20,12,0,0,54,640,60,6,40,0,0,0,0,0,0,0,0,0,14,false,0,82,,,,Shrapnel Launcher*,Chambered Compensator*,Extended Mag*,Release the Wolves*,Composite Stock*,Kill Tracker,Lord of Wolves Catalyst*,,,,,,,,
Outbreak Perfected,400096939,"""6917529093229560734""",,Exotic,Pulse Rifle,,KineticSlot,Kinetic,1600,,,10,Vault,true,false,2,6,,90,65,27,64,17,0,0,40,450,45,35,35,0,0,0,0,0,0,0,0,0,29,false,0,285,,,,The Corruption Spreads*,Extended Barrel*,Accurized Rounds*,Outlaw*,Parasitism*,Kill Tracker,Outbreak Perfected Catalyst*,,,,,,,,
The Wizened Rebuke,930590127,"""6917529093495164622""",,Legendary,Fusion Rifle,ironbanner,Energy,Arc,1600,1060,Stability,10,Vault,true,false,2,6,,72,62,95,53,15,0,0,38,0,20,6,37,960,0,0,0,0,0,0,0,0,4,false,0,10,fotc,,,High-Impact Frame*,Hitmark IS*,Enhanced Battery*,Moving Target*,Demolitionist*,Crucible Tracker,Masterworked: Stability*,Iron Ruby*,,,,,,,
21% Delirium,1600633250,"""6917529093808487796""",,Legendary,Machine Gun,gambit,Power,Arc,1600,1060,Stability,10,Vault,true,false,2,6,,60,70,25,44,16,0,0,67,900,37,115,48,0,0,0,0,0,0,0,0,0,16,false,0,1570,,,,Rapid-Fire Frame*,Polygonal Rifling*,Extended Mag*,Overflow*,Killing Tally*,Kill Tracker,Backup Mag*,Masterworked: Stability*,Darkwater Froth*,87% Ennui*,,,,,
Kindled Orchid,2575506895,"""6917529094079975915""",,Legendary,Hand Cannon,blackarmory,Energy,Void,1600,1060,Stability,10,Vault,true,false,2,5,,99,76,84,54,14,0,0,51,140,43,10,36,0,0,0,0,0,0,0,0,0,10,false,0,273,,,,Adaptive Frame*,Full Bore*,Hammer-Forged Rifling,Extended Mag,Alloy Magazine*,Surrounded*,Threat Detector*,Kill Tracker,Masterworked: Stability*,New Age Black Armory*,,,,,
Wendigo GL3,578459533,"""6917529094477245159""",,Legendary,Grenade Launcher,pinnacle-weapon,Power,Arc,1600,1060,Velocity,10,Vault,false,false,2,7,,93,66,0,0,13,0,44,48,120,46,6,51,0,0,0,0,0,0,0,0,0,6,false,0,1794,omolon,,,Adaptive Frame*,Smart Drift Control*,Disorienting Grenades*,Auto-Loading Holster*,Explosive Light*,Kill Tracker,Major Spec*,Masterworked: Velocity*,,,,,,,
Drang,2362471600,"""6917529095064549096""",,Legendary,Sidearm,nessus,Energy,Solar,1600,,Stability,10,Vault,false,false,1,1,,80,70,49,52,13,0,0,77,300,30,18,71,0,0,0,0,0,0,0,0,0,23,false,0,0,,,,Together Forever*,Smallbore*,Rampage*,Moving Target*,Accurized Rounds*,Kill Tracker,Masterworked: Stability*,,,,,,,,
Sturm,2907129556,"""6917529095066720665""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,"Handling, Range",10,Vault,false,false,1,1,,100,50,92,90,14,0,0,51,120,30,12,70,0,0,0,0,0,0,0,0,0,22,false,0,629,,,,Accomplice*,Extended Barrel*,Extended Mag*,Storm and Stress*,Combat Grip*,Kill Tracker,Sturm Catalyst*,Symbiosis*,,,,,,,
The Last Word,1364093401,"""6917529095174036107""",,Exotic,Hand Cannon,,KineticSlot,Kinetic,1600,,,,Vault,false,false,2,5,,100,40,78,35,11,0,0,40,225,80,8,40,0,0,0,0,0,0,0,0,0,19,false,0,0,tex-mechanica,,,Fan Fire*,Corkscrew Rifling*,Accurized Rounds*,Hip-Fire Grip*,Textured Grip*,Kill Tracker,,,,,,,,,
Cerberus+1,1541131350,"""6917529095265431654""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1600,,,10,Hunter(1772),false,false,2,4,,86,60,33,25,16,0,0,20,360,35,31,27,0,0,0,0,0,0,0,0,0,16,false,0,143,,,,Four-Headed Dog*,Rifled Barrel*,Fluted Barrel*,Full Bore*,Spread Shot Package*,Kill Tracker,Cerberus+1 Catalyst*,,,,,,,,
Trinity Ghoul,814876685,"""6917529096015111077""",,Exotic,Combat Bow,,Energy,Arc,1800,,"Charge Time, Draw Time",10,Vault,true,false,2,4,,77,74,80,0,18,0,0,45,0,60,0,63,0,648,95,0,0,0,0,0,0,24,false,0,2663,,,,Split Electron*,High Tension String*,Compact Arrow Shaft*,Lightning Rod*,Kill Tracker,Trinity Ghoul Catalyst*,Tangled Outrider*,,,,,,,,
Izanagi's Burden,3211806999,"""6917529096268464109""",,Exotic,Sniper Rifle,blackarmory,KineticSlot,Kinetic,1600,,,10,Vault,false,false,2,5,,83,62,70,58,45,0,0,56,90,40,4,47,0,0,0,0,0,0,0,0,0,6,false,0,62,,,,Honed Edge*,Chambered Compensator*,Accurized Rounds*,No Distractions*,Composite Stock*,Kill Tracker,Izanagi's Burden Catalyst*,Worldshaper*,,,,,,,
Rose,2429822976,"""6917529096473715680""",,Legendary,Hand Cannon,,KineticSlot,Kinetic,1600,1060,Range,1,Vault,true,false,2,7,,100,85,84,49,14,0,0,50,140,55,11,73,0,0,0,0,0,0,0,0,0,10,false,0,0,,,,Adaptive Frame*,Chambered Compensator*,Accurized Rounds*,Outlaw*,Polymer Grip*,Kill Tracker,Empty Mod Socket*,Tier 1 Weapon*,Default Shader*,,,,,,
Bad Juju,2816212794,"""6917529096604780915""",,Exotic,Pulse Rifle,dcv,KineticSlot,Kinetic,1600,,,10,Hunter(1772),true,false,2,7,,85,60,27,40,17,0,0,77,450,47,27,56,0,0,0,0,0,0,0,0,0,35,false,0,1676,,,,String of Curses*,Hammer-Forged Rifling*,Steady Rounds*,Hip-Fire Grip*,Short-Action Stock*,Kill Tracker,Bad Juju Catalyst*,,,,,,,,
Tatara Gaze,1449922174,"""6917529096666106986""",,Legendary,Sniper Rifle,blackarmory,Energy,Arc,1600,1060,Stability,1,Vault,true,false,2,5,,89,45,90,76,50,0,0,39,72,35,3,16,0,0,0,0,0,0,0,0,0,9,false,0,0,,,,Aggressive Frame*,Extended Barrel*,Hammer-Forged Rifling,Steady Rounds*,Flared Magwell,Rangefinder*,Dragonfly*,Kill Tracker,Tier 1: Stability*,New Age Black Armory*,,,,,
Erentil FR4,3027844941,"""6917529097377677809""",,Legendary,Fusion Rifle,gunsmith,Energy,Void,1600,1060,Range,10,Vault,true,false,2,4,,60,70,95,84,19,0,0,22,0,20,5,21,960,0,0,0,0,0,0,0,0,4,false,0,145,omolon,,,High-Impact Frame*,Jolt PS,Flash HS5*,Ionized Battery,Projection Fuse*,Snapshot Sights*,Backup Plan*,Crucible Tracker,Targeting Adjuster*,Masterworked: Range*,,,,,
Age-Old Bond,601592879,"""6917529097579896256""",,Legendary,Auto Rifle,lastwish,Energy,Void,1600,,Range,10,Hunter(1772),true,false,3,11,,89,61,33,100,16,0,0,30,360,44,32,28,0,0,0,0,0,0,0,0,0,10,false,0,136,,,,High-Impact Frame*,Extended Barrel*,Light Mag*,Fourth Time's the Charm*,Rampage*,Kill Tracker,Masterworked: Range*,Dreaming Spectrum*,,,,,,,
Prometheus Lens,19024058,"""6917529097909994027""",,Exotic,Trace Rifle,,Energy,Solar,1600,,"Stability, Handling",10,Vault,true,false,1,2,,100,100,6,70,16,0,0,80,1000,40,100,55,0,0,0,0,0,0,0,0,0,16,false,0,2363,,,,Prismatic Inferno*,Chambered Compensator*,Projection Fuse*,Flame Refraction*,Composite Stock*,Kill Tracker,Prometheus Catalyst*,Eye of Osiris*,,,,,,,
Anarchy,2376481550,"""6917529099027229165""",,Exotic,Grenade Launcher,,Power,Arc,1600,,,,Vault,true,false,2,5,,50,69,0,0,13,70,100,65,150,73,6,79,0,0,0,0,0,0,0,0,0,20,false,0,0,,,,Arc Traps*,Quick Launch*,High-Velocity Rounds*,Moving Target*,Composite Stock*,Kill Tracker,,,,,,,,,
Legend of Acrius,3580904580,"""6917529099087256473""",,Exotic,Shotgun,dcv,Power,Arc,1800,,"Magazine, Inventory Size, Reload Speed",10,Vault,false,false,1,1,,80,90,85,100,12,0,0,80,55,60,6,0,0,0,0,0,0,0,0,0,0,3,false,0,523,,,,Shock Blast*,Full Bore*,Accurized Rounds*,Long March*,Fitted Stock*,Kill Tracker,Acrius Catalyst*,The Emperor's Pleasure*,,,,,,,
Tyranny of Heaven,2721249463,"""6917529099126951437""",,Legendary,Combat Bow,lastwish,Energy,Solar,1600,,"Draw Time, Charge Time",10,Vault,false,false,3,11,,54,81,68,0,18,0,0,59,0,60,0,78,0,500,41,0,0,0,0,0,0,17,false,0,15,,,,Lightweight Frame*,Flexible String*,Straight Fletching*,Sneak Bow*,Dragonfly*,Kill Tracker,Masterworked: Draw Time*,Dreaming Spectrum*,,,,,,,
Black Talon,3766045777,"""6917529099166414890""",,Exotic,Sword,,Power,Void,1600,,,10,Vault,false,false,2,4,,0,0,61,0,0,0,0,0,0,0,62,0,0,0,0,65,70,0,60,40,0,0,false,0,13,,,,Crow's Wings*,Tempered Edge*,Heavy Guard*,Tireless Blade*,Crucible Tracker,Black Talon Catalyst*,Tangled Paladin*,,,,,,,,
The Mountaintop,3993415705,"""6917529099686074357""",,Legendary,Grenade Launcher,crucible,KineticSlot,Kinetic,1600,1060,Velocity,10,Vault,false,false,2,5,,62,80,0,0,13,95,100,23,90,63,1,69,0,0,0,0,0,0,0,0,0,32,false,0,530,,,,Micro-Missile Frame*,Hard Launch*,Volatile Launch,Spike Grenades*,Sticky Grenades,Rangefinder*,Rampage*,Crucible Tracker,Targeting Adjuster*,Masterworked: Velocity*,New Age Black Armory*,,,,
The Recluse,3354242550,"""6917529099688316855""",,Legendary,Submachine Gun,crucible,Energy,Void,1600,1060,Range,10,Vault,false,false,2,6,,100,55,15,49,13,0,0,67,900,28,36,63,0,0,0,0,0,0,0,0,0,12,false,0,2995,veist,,,Lightweight Frame*,Polygonal Rifling*,Ricochet Rounds*,Feeding Frenzy*,Master of Arms*,Kill Tracker,Masterworked: Range*,,,,,,,,
Two-Tailed Fox,2694576561,"""6917529100729670452""",,Exotic,Rocket Launcher,,Power,Void,1809,,,10,Vault,false,false,2,4,,61,67,0,0,20,40,50,70,40,39,1,52,0,0,0,0,0,0,0,0,0,12,false,0,434,daito,,,Twintails*,Confined Launch*,High-Velocity Rounds*,Play with Your Prey*,Composite Stock*,Kill Tracker,Third Tail*,Chasing Kitsune*,,,,,,,
Riskrunner,3089417789,"""6917529101607692559""",,Exotic,Submachine Gun,,Energy,Arc,1600,,Range,10,Hunter(1772),false,false,1,1,,100,50,20,80,13,0,0,55,900,15,41,71,0,0,0,0,0,0,0,0,0,41,false,0,2459,,,,Arc Conductor*,Arrowhead Brake*,Extended Mag*,Superconductor*,Short-Action Stock*,Kill Tracker,Riskrunner Catalyst*,Summer Storm*,,,,,,,
Sweet Business,1345867570,"""6917529103250570370""",,Exotic,Auto Rifle,,KineticSlot,Kinetic,1800,,,10,Warlock(1823),true,false,1,1,,100,80,18,35,16,0,0,55,360,0,45,5,0,0,0,0,0,0,0,0,0,32,false,0,1621,,,,Payday*,Polygonal Rifling*,Armor-Piercing Rounds*,Business Time*,Composite Stock*,Kill Tracker,Sweet Business Catalyst*,Down to Business*,,,,,,,
Khvostov 7G-02,1619016919,"""6917529104139855023""",,Common,Auto Rifle,campaign,KineticSlot,Kinetic,1600,,,,Vault,true,false,3,8,,70,48,21,12,15,0,0,30,600,52,40,32,0,0,0,0,0,0,0,0,0,0,false,0,0,suros,,,Adaptive Frame*,,,,,,,,,,,,,,
Stryker's Sure-Hand,3704653637,"""6917529105360446182""",,Legendary,Sword,blackarmory,Power,Arc,1600,1060,Impact,10,Vault,true,false,2,5,,0,0,65,0,0,0,0,0,0,0,62,0,0,0,0,20,40,0,40,40,0,0,false,0,308,,,,Adaptive Frame*,Tempered Edge*,Balanced Guard*,Assassin's Blade*,Surrounded*,Kill Tracker,Masterworked: Impact*,Bergusian Night*,,,,,,,
Deathbringer,2232171099,"""6917529105371648066""",,Exotic,Rocket Launcher,,Power,Void,1800,,,10,Vault,true,false,3,8,,58,72,0,0,20,100,35,53,15,63,1,66,0,0,0,0,0,0,0,0,0,3,false,0,0,,,,Dark Deliverance*,Volatile Launch*,Alloy Casing*,Dark Descent*,Composite Stock*,Kill Tracker,Deathbringer Catalyst*,,,,,,,,
